Designator,Val,Mid X,Mid Y,Rotation,Layer
U1,LuckFox_Pico_PLUS_PRO,55.740000,-33.000000,90.000000,bottom
U2,LuckFox_Pico_PLUS_PRO,55.740000,-33.000000,90.000000,bottom
LCD1,ST7789,63.550000,-41.600000,180.000000,top
R1,10K,44.100000,-44.000000,90.000000,top
R2,10K,47.050000,-44.000000,90.000000,top
R3,10K,50.000000,-44.000000,90.000000,top
R4,10K,13.200000,-44.000000,90.000000,top
R5,10K,19.000000,-44.000000,90.000000,top
R6,10K,16.000000,-44.000000,90.000000,top
R7,10K,22.000000,-44.000000,90.000000,top
R8,10K,25.000000,-44.000000,90.000000,top
